"timestamp","dst","message"
"2019-03-07T19:40:54.666Z","192.168.100.26","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T03:40:26.353Z","192.168.102.61","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T03:38:53.353Z","192.168.134.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:36:42.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:34:41.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:37:26.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:39:46.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:43:51.665Z","192.168.103.238","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:43:01.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:45:25.666Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:48:40.665Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:52:00.666Z","192.168.103.155","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:51:17.666Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:53:53.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:54:11.666Z","192.168.102.21","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T03:52:02.352Z","185.121.118.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T03:49:28.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T03:51:28.353Z","192.168.102.173","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:57:02.665Z","192.168.103.170","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:57:53.666Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T03:56:55.666Z","192.168.100.4","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T21:13:11.666Z","192.168.103.45","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T03:52:30.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T03:52:30.353Z","192.168.100.128","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T03:54:32.353Z","192.168.100.4","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:02:22.665Z","192.168.134.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:02:22.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T03:55:27.353Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:02:34.665Z","192.168.103.170","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:05:02.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:05:45.665Z","192.168.134.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T03:54:32.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T19:39:32.665Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T03:55:42.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T03:58:26.353Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T19:39:16.666Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T21:13:29.666Z","185.121.118.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-03-07T19:39:51.665Z","192.168.100.11","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:10:36.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T03:59:30.352Z","185.121.118.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:15:09.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-01-19T03:59:49.353Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:17:22.665Z","192.168.103.170","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:18:20.665Z","194.24.186.59","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:18:20.665Z","192.168.103.19","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-24T04:18:24.665Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
"2019-02-14T11:05:28.353Z","185.121.116.2","ET POLICY Dropbox.com Offsite File Backup in Use"
